campus_id,campus_name,hospital_name,province,province_en,city,city_en,evidence_year,bed_value,status_event,source_urls
P2C000267,临夏州人民医院西院区,临夏州人民医院,甘肃省,Gansu,临夏回族自治州,Linxia Hui Autonomous Prefecture,2023,300,,https://www.xbmu.edu.cn/yxb/info/1011/8231.htm
P2C000268,庆阳市人民医院陇东区域医疗中心院区,庆阳市人民医院,甘肃省,Gansu,庆阳市,Qingyang,2024,1000,,https://xgs.newgscloud.com/pages/2024/12/27/444e991bf5f94d8595ad7446411e648e.html
P2C000269,上海市第一人民医院酒泉医院（酒泉市人民医院）总院,酒泉市人民医院,甘肃省,Gansu,酒泉市,Jiuquan,2024,1500,,https://www.jqsyy.cn/sys-nd/1585.html
P2C000273,甘肃省武威肿瘤医院北院区,甘肃省武威肿瘤医院,甘肃省,Gansu,武威市,Wuwei,2019,1000,,https://www.chima.org.cn/Html/News/Articles/5033.html
P2C000273,甘肃省武威肿瘤医院北院区,甘肃省武威肿瘤医院,甘肃省,Gansu,武威市,Wuwei,2020,1000,,https://mhos.51daifu.com/hos4840/gba/1437.shtml
P2C000273,甘肃省武威肿瘤医院北院区,甘肃省武威肿瘤医院,甘肃省,Gansu,武威市,Wuwei,2021,1000,,https://www.nxmu.edu.cn/jyxxw/info/1008/2266.htm
P2C000274,河北医科大学第四医院东院,河北医科大学第四医院,河北省,Hebei,石家庄市,Shijiazhuang,2019,820,,https://www.hbydsy.com/info/1012/1859.htm|https://www.wangzhiku.net.cn/webdir/category/11-64.html
P2C000274,河北医科大学第四医院东院,河北医科大学第四医院,河北省,Hebei,石家庄市,Shijiazhuang,2021,820,,https://www.med66.com/zhuyuanyishi/hebei/li2109075766.shtml
P2C000274,河北医科大学第四医院东院,河北医科大学第四医院,河北省,Hebei,石家庄市,Shijiazhuang,2022,809,,https://www.hbydsy.com/info/1013/5221.htm
P2C000274,河北医科大学第四医院东院,河北医科大学第四医院,河北省,Hebei,石家庄市,Shijiazhuang,2023,824,,https://www.hbydsy.com/info/1618/5997.htm
P2C000275,福建中医药大学附属康复医院滨海院区,福建中医药大学附属康复医院,福建省,Fujian,福州市,Fuzhou,2022,300,open,https://www.cn-healthcare.com/articlewm/20220607/content-1373495.html
P2C000276,海南西部中心医院滨海院区,海南西部中心医院,海南省,Hainan,儋州市,Danzhou,2024,500,,https://www.yzp.cn/zhaopingonggao/108478.html
P2C000277,Harbin TCM Hospital Qunli Main Campus,哈尔滨市中医医院,黑龙江省,Heilongjiang,哈尔滨市,Harbin,2023,1000,,https://finance.sina.cn/2024-05-22/detail-inavzwiw9359210.d.html?cid=76524&node_id=76524&vt=4
P2C000278,辽宁省健康产业集团铁煤总医院,辽宁省健康产业集团铁煤总医院,辽宁省,Liaoning,铁岭市,Tieling,2018,950,,https://csp.ncmi.cn/WebManage/StrokeRecognition/CzdtUUDetailWeb?type=&uid=26027
P2C000280,锦州市中医医院（锦州市第三医院）,锦州市中医医院（锦州市第三医院）,辽宁省,Liaoning,锦州市,Jinzhou,2022,410,,https://www.hospitala.com/yiyuanyisheng/2022-06-02/465.html
P2C000281,温州医科大学附属眼视光医院杭州院区,温州医科大学附属眼视光医院,浙江省,Zhejiang,杭州市,Hangzhou,2015,86,,https://www.hzeye.cn/news-2/show-34437.html
P2C000281,温州医科大学附属眼视光医院杭州院区,温州医科大学附属眼视光医院,浙江省,Zhejiang,杭州市,Hangzhou,2020,80,,https://www.sohu.com/a/938590245_456062
P2C000282,襄阳市第一人民医院(高新院区),襄阳市第一人民医院,湖北省,Hubei,襄阳市,Xiangyang,2023,,open,https://5btm.cscec.com/xwzx/gsxw/202310/3722270.html
P2C000283,福建医科大学附属漳州市医院龙文院区,漳州市医院,福建省,Fujian,漳州市,Zhangzhou,2021,560,,https://sthjt.fujian.gov.cn/zwgk/gsgg/202107/P020210713402952009099.pdf
P2C000284,邵阳市中心医院东院,邵阳市中心医院,湖南省,Hunan,邵阳市,Shaoyang,2018,,open,https://www.shaoyang.gov.cn/shaoyang/zyzw/201902/6df646751ad04280bc513c1f06f60d7a.shtml
P2C000285,青海省妇女儿童医院（南院区）,青海省妇女儿童医院,青海省,Qinghai,西宁市,Xining,2019,500,,https://news.zhuyitai.com/19/0823/7f909a3c269d4b3895c217cd2ee69803.html
P2C000287,淄博市中医医院东院区,淄博市中医医院（山东中医药大学第四附属医院）,山东省,Shandong,淄博市,Zibo,2022,1000,,https://ws.zibo.gov.cn/art/2021/8/3/art_815_2145758.html|https://ws.zibo.gov.cn/art/2022/2/18/art_1335_2258949.html
P2C000288,济南市章丘区中医医院新院区,济南市章丘区中医医院,山东省,Shandong,济南市,Jinan,2023,1800,,https://jiankangsd.e23.cn/index.php?a=show&c=index&catid=21&id=73027&m=content
P2C000289,衢州市人民医院新院区（四省边际中心医院）,衢州市人民医院,浙江省,Zhejiang,衢州市,Quzhou,2021,2000,,https://www.sohu.com/a/496697984_121123876
P2C000290,湖州市中心医院新院区（浙北医学中心）,湖州市中心医院,浙江省,Zhejiang,湖州市,Huzhou,2020,1500,open,https://hzhospital.com/content/default/2/107?category_id=112|https://huzhou.zjol.com.cn/202009/t20200917_12301199.shtml
P2C000291,徐州医科大学附属医院东院,徐州医科大学附属医院,江苏省,Jiangsu,徐州市,Xuzhou,2016,1280,open,https://mt.sohu.com/20160902/n467403303.shtml
P2C000292,济宁医学院附属医院太白湖院区,济宁医学院附属医院,山东省,Shandong,济宁市,Jining,2021,1200,open,https://www.sdwsnews.com.cn/a/shendu/2022/0127/47045.html
P2C000293,泰安市中心医院高新院区,泰安市中心医院,山东省,Shandong,泰安市,Taian,2021,1200,,https://www.taishanyy.com/upload/files/2024/1/5678e7e763d58cff.pdf
P2C000294,巴中市中心医院南坝院区,巴中市中心医院(巴中市人民医院),四川省,Sichuan,巴中市,Bazhong,2018,1044,open,https://health.people.com.cn/n1/2018/1010/c421398-30332712.html|https://www.haodf.com/hospital/3419308421/jieshao.html
P2C000295,驻马店市中心医院妇女儿童医院,驻马店市中心医院,河南省,Henan,驻马店市,Zhumadian,2021,,open,https://zmdszxyy.cn/web/front/news/detail.php?newsid=16599
P2C000295,驻马店市中心医院妇女儿童医院,驻马店市中心医院,河南省,Henan,驻马店市,Zhumadian,2024,682,,https://zmdszxyy.cn/wap/front/news/detail.php?newsid=19296
P2C000296,阜阳市人民医院岳家湖院区,阜阳市人民医院,安徽省,Anhui,阜阳市,Fuyang,2022,,open,https://jk.anhuinews.com/yynews/202209/t20220923_6417032.html
P2C000296,阜阳市人民医院岳家湖院区,阜阳市人民医院,安徽省,Anhui,阜阳市,Fuyang,2024,400,open,https://www.gaoxiaojob.com/announcement/detail/227675.html
P2C000297,烟台市烟台山医院东院区,烟台市烟台山医院,山东省,Shandong,烟台市,Yantai,2020,1500,,https://www.ytsyy.com/frontend/web/article/view/3463
P2C000298,山西省肿瘤医院南院区,山西省肿瘤医院,山西省,Shanxi,太原市,Taiyuan,2020,450,,https://health.china.com.cn/2020-08/07/content_41249044.htm?a=true&f=pad
P2C000299,苏北人民医院开发区分院,苏北人民医院,江苏省,Jiangsu,扬州市,Yangzhou,2024,160,open,https://www.yzcn.net/broadcast/headline/2024-03/27/cms472126article.shtml|https://yzcn.net/broadcast/headline/2024-03/27/cms472126article.shtml
